group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,mediapipe_advance_ms,flags
head,hmd_to_fused_head,hmd.loc.x,fused.head.loc.x,1328,1.0,15.725305008888188,16.31411188492099,1.0374432722099824,0.9389800984916536,0.0,0.9389800984916538,0.0,0.9389800984916538,0.055974705481707986,0.04208587950379207,0.7518731745278293,False,fail,0.0,
head,hmd_to_fused_head,hmd.loc.y,fused.head.loc.y,1328,1.0,27.325129866600037,24.360987620529585,0.891523214691339,0.9911436952777962,0.0,0.9911436952777958,0.0,0.9911436952777958,0.02984521193397937,0.028160413162118304,0.9435487750736027,False,fail,0.0,
head,hmd_to_fused_head,hmd.loc.z,fused.head.loc.z,1328,1.0,22.680631935596466,16.67717270312201,0.7353045872124827,0.9859079244578786,0.0,0.985907924457878,0.0,0.985907924457878,0.028732367966296343,0.030842764418503695,1.0734501400887977,False,fail,0.0,
head,hmd_to_output_head,hmd.loc.z,manny.head.loc.z,1328,1.0,22.680631935596466,0.0,0.0,nan,nan,nan,nan,nan,0.028732367966296343,0.0,0.0,False,fail,0.0,flat_target;low_correlation;amplitude_mismatch
head_mp_diagnostic,stage3_head_compare_only,mp_body.ear_mid.z,hmd.loc.z,1328,1.0,48.95462127402425,22.680631935596466,0.4632990991522798,0.22684577084191496,0.5705680251121521,0.31475145367350355,0.5705680251121521,0.31475145367350355,0.007268164184505999,0.028732367966296343,3.953180918442505,False,fail,0.0,low_correlation;lag_over_100ms
head_mp_diagnostic,stage3_head_compare_only,mp_body.nose.z,hmd.loc.z,1328,1.0,44.903565645217896,22.680631935596466,0.5050964574794716,0.3008206842422065,0.39226551726460457,0.3870084262570695,0.39226551726460457,0.3870084262570695,0.009127188893040051,0.028732367966296343,3.147997516322495,False,fail,0.0,low_correlation;lag_over_100ms
head_mp_diagnostic,stage3_head_compare_only,mp_world.nose.z,hmd.loc.z,1323,0.9962349397590361,0.2584126718342304,22.680631935596466,87.76903924489395,0.1398511813113256,-0.7461174242198467,0.25274299915205956,-0.7461174242198467,0.25274299915205956,0.03787707016260674,0.028732367966296343,0.758568913671198,False,fail,0.0,low_correlation;lag_over_100ms;amplitude_mismatch
pelvis,output_verification,fused.pelvis.loc.z,manny.pelvis.loc.z,1328,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,fail,0.0,flat_source;flat_target;low_correlation
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.x,fused.pelvis.loc.x,1328,1.0,3.2863272468482987,0.0,0.0,nan,nan,nan,nan,nan,0.046761941561178876,0.0,0.0,False,fail,0.0,flat_target;low_correlation;amplitude_mismatch
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.y,fused.pelvis.loc.y,1328,1.0,7.3035124946735674,0.0,0.0,-0.0053182023101109276,-0.21396300941705704,0.0742750202683488,-0.21396300941705704,0.0742750202683488,0.01576520371061165,0.0,0.0,False,fail,0.0,flat_target;low_correlation;lag_over_100ms;amplitude_mismatch
pelvis,stage1_pelvis_shape_raw_units,mp_world.hip_mid.z,fused.pelvis.loc.z,1323,0.9962349397590361,0.00013781506568193435,0.0,0.0,nan,nan,nan,nan,nan,0.03483630652706015,0.0,0.0,False,fail,0.0,flat_target;low_correlation;amplitude_mismatch
pelvis,stage1_pelvis_vertical_hint,mp_body.hip_mid.z,fused.pelvis.loc.z,1328,1.0,0.0634796591475606,0.0,0.0,0.045298883368364726,-0.17830250784754753,0.045705932964853827,-0.32094451412558556,-0.06432028558952751,0.012101646746482364,0.0,0.0,False,fail,0.0,flat_target;low_correlation;lag_over_100ms;amplitude_mismatch
shoulders,quest_shoulder_output_measure,quest.left.shoulder.z,fused.left.shoulder.z,1328,1.0,14.254347610473644,140.83071725011285,9.87984305550644,0.6583022710102019,-0.21396300941705704,0.7833700404437566,-0.21396300941705704,0.7833700404437566,0.032266202213043126,0.00329189388702988,0.10202297330484036,False,fail,0.0,lag_over_100ms;amplitude_mismatch
shoulders,quest_shoulder_output_measure,quest.right.shoulder.z,fused.right.shoulder.z,1328,1.0,14.292823410034174,140.75612542272026,9.84802801970557,0.6617870386433264,-0.21396300941705704,0.7875315390879059,-0.21396300941705704,0.7875315390879059,0.03320587804257098,0.003388046336983837,0.10203152383563702,False,fail,0.0,lag_over_100ms;amplitude_mismatch
shoulders,shoulder_conflict_measure,quest.left.shoulder.z,mp_body.left_shoulder.z,1328,1.0,14.254347610473644,45.524930506944656,3.19375756442858,0.07712746038321214,-0.7488705329596996,0.24603160135511093,-0.7488705329596996,0.24603160135511093,0.032266202213043126,0.005482787934562587,0.16992355959221792,False,fail,0.0,low_correlation;lag_over_100ms
shoulders,shoulder_conflict_measure,quest.right.shoulder.z,mp_body.right_shoulder.z,1328,1.0,14.292823410034174,27.928992435336113,1.954057056055752,0.26401541630103514,-0.7132100313901901,0.43292106040922046,-0.7132100313901901,0.43292106040922046,0.03320587804257098,0.01085516994417739,0.32690507175448635,False,fail,0.0,low_correlation;lag_over_100ms
shoulders,stage2_output_shoulder_compare,mp_body.left_shoulder_lift_from_hips,manny.clavicle_l_lift_from_pelvis,1328,1.0,45.57300434447825,0.0,0.0,nan,nan,nan,nan,nan,0.005489396773949154,0.0,0.0,False,fail,0.0,flat_target;low_correlation;amplitude_mismatch
shoulders,stage2_output_shoulder_compare,mp_body.right_shoulder_lift_from_hips,manny.clavicle_r_lift_from_pelvis,1328,1.0,27.976643033325672,0.0,0.0,nan,nan,nan,nan,nan,0.010823427817787206,0.0,0.0,False,fail,0.0,flat_target;low_correlation;amplitude_mismatch
shoulders,stage2_shoulder_hint,mp_body.left_shoulder.z,fused.left.shoulder.z,1328,1.0,45.524930506944656,140.83071725011285,3.093485606279611,-0.041306384448930505,nan,nan,0.035660501569509506,-0.049222100080489245,0.005482787934562587,0.00329189388702988,0.6004051089188268,False,fail,0.0,low_correlation
shoulders,stage2_shoulder_hint,mp_body.left_shoulder_lift_from_hips,fused.left.shoulder_lift_from_pelvis,1328,1.0,45.57300434447825,140.83071725011285,3.0902223646612907,-0.046946579706059435,nan,nan,0.035660501569509506,-0.049523683562233155,0.005489396773949154,0.00329189388702988,0.5996822642976202,False,fail,0.0,low_correlation
