signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
conditioning.arms_quality,conditioning,conditioning,1323,0.9962349397590361,0.6725629448890686,0.9761731028556824,0.9799813866615296,0.3074184417724609,0.01939310018935846
conditioning.effective_added_latency_ms,conditioning,conditioning,1323,0.9962349397590361,0.0,0.0,0.0,0.0,0.0
conditioning.feet_ankles_quality,conditioning,conditioning,1323,0.9962349397590361,0.8089576780796051,0.8737775683403015,0.8943560004234314,0.08539832234382638,0.09363927076821214
conditioning.hands_wrists_quality,conditioning,conditioning,1323,0.9962349397590361,0.29474395513534546,0.9315450191497803,0.9405636429786682,0.6458196878433228,0.013908270934334983
conditioning.head_neck_quality,conditioning,conditioning,1323,0.9962349397590361,0.9944653868675232,0.998591423034668,0.9991249740123749,0.004659587144851707,0.3058852649635613
conditioning.hips_quality,conditioning,conditioning,1323,0.9962349397590361,0.9963035583496094,0.9988889098167419,0.9992818415164948,0.0029782831668854204,0.22271865800233032
conditioning.legs_quality,conditioning,conditioning,1323,0.9962349397590361,0.9207247197628021,0.9789360165596008,0.9848500430583954,0.06412532329559328,0.05539225746771563
conditioning.max_landmark_jitter,conditioning,conditioning,1323,0.9962349397590361,0.004027089430019259,0.015270669013261795,0.3006541818380349,0.2966270924080156,0.7919047862139569
conditioning.mean_landmark_confidence,conditioning,conditioning,1323,0.9962349397590361,0.7697663247585297,0.9549545645713806,0.9634435772895813,0.1936772525310516,0.019881560862458802
conditioning.mean_landmark_jitter,conditioning,conditioning,1323,0.9962349397590361,0.0012024006457068026,0.005524038337171078,0.06376459449529648,0.06256219384958968,0.495708538824579
conditioning.mediapipe_output_fps,conditioning,conditioning,1323,0.9962349397590361,21.443971633911133,26.426218032836914,29.479259872436522,8.03528823852539,0.3015963211401279
conditioning.prediction_horizon_ms,conditioning,conditioning,1323,0.9962349397590361,0.0,0.0,27.300870704650876,27.300870704650876,1.0250133284834662
conditioning.quality_score,conditioning,conditioning,1323,0.9962349397590361,0.7673251748085022,0.9549545645713806,0.9634435772895813,0.19611840248107915,0.021844663292406027
conditioning.root_pelvis_quality,conditioning,conditioning,1323,0.9962349397590361,0.9963035583496094,0.9988889098167419,0.9992818415164948,0.0029782831668854204,0.22271865800233032
conditioning.shoulder_clavicle_quality,conditioning,conditioning,1323,0.9962349397590361,0.9947218835353852,0.9992836713790894,0.999679446220398,0.004957562685012795,0.3133866191518773
conditioning.source_age_ms,conditioning,conditioning,1323,0.9962349397590361,0.0,0.0,27.32419948577881,27.32419948577881,1.0289558454458292
conditioning.source_video_fps,conditioning,conditioning,1323,0.9962349397590361,30.0,30.0,30.0,0.0,0.0
conditioning.torso_spine_quality,conditioning,conditioning,1323,0.9962349397590361,0.9954346239566803,0.9990949034690857,0.9994025528430939,0.003967928886413619,0.2603491320518878
conditioning.unique_pose_timestamp_fps,conditioning,conditioning,1323,0.9962349397590361,21.443971633911133,26.426218032836914,29.479259872436522,8.03528823852539,0.3015963211401279
conditioning.whole_pose_spike_score,conditioning,conditioning,1323,0.9962349397590361,0.0,0.0,0.0,0.0,0.0
face.count,head_mp_diagnostic,face,19,0.01430722891566265,478.0,478.0,478.0,0.0,0.0
face.has_transform,head_mp_diagnostic,face,19,0.01430722891566265,0.0,0.0,0.0,0.0,0.0
face.score,head_mp_diagnostic,face,19,0.01430722891566265,1.0,1.0,1.0,0.0,0.0
fused.chest.loc.x,torso,fused,1328,1.0,-9.123194878569574,-1.1703691360192463,4.14480151556964,13.267996394139214,0.038042633891888306
fused.chest.loc.y,torso,fused,1328,1.0,-171.5967019583277,-168.46510359316784,-152.54930921123804,19.047392747089674,0.033560996049389856
fused.chest.loc.z,torso,fused,1328,1.0,119.81909503492919,132.28318931584857,132.85865908444705,13.039564049517864,0.030842764418504556
fused.head.loc.x,head,fused,1328,1.0,-11.667849246377667,-1.484615821267167,4.646262638543323,16.31411188492099,0.04208587950379207
fused.head.loc.y,head,fused,1328,1.0,-171.52177018884925,-168.57408302989614,-147.16078256831966,24.360987620529585,0.028160413162118304
fused.head.loc.z,head,fused,1328,1.0,137.46864650896478,153.40981234253982,154.1458192120868,16.67717270312201,0.030842764418503695
fused.head.rot.pitch,head,fused,1328,1.0,-34.00654490181481,-1.8395881485437822,8.4772761777733,42.48382107958811,0.05298392732045535
fused.head.rot.roll,head,fused,1328,1.0,-9.56156164865334,-1.146764788708305,11.186121048565438,20.747682697218778,0.06781493758619064
