group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,mediapipe_advance_ms,flags
head,hmd_to_fused_head,hmd.loc.x,fused.head.loc.x,1322,1.0,2.0095939666032785,1.6098344937812858,0.8010745058626508,0.9209828076500935,0.0,0.9209828076500942,0.0,0.9209828076500942,0.07587427713153351,0.08988823836025461,1.1846997659618805,False,fail,175.5906,
head,hmd_to_fused_head,hmd.loc.y,fused.head.loc.y,1322,1.0,7.710304218530666,7.421267157801509,0.9625128850254059,0.9980464201888706,0.0,0.9980464201888702,0.0,0.9980464201888702,0.044277747232740694,0.04942452166406486,1.1162383985858801,False,fail,175.5906,
head,hmd_to_fused_head,hmd.loc.z,fused.head.loc.z,1322,1.0,1.8456945627927723,1.2747244079457403,0.6906475392206384,0.9982896257082602,0.0,0.9982896257082606,0.0,0.9982896257082606,0.06728146394541268,0.07449314218400102,1.107186702186495,False,fail,175.5906,
head,hmd_to_output_head,hmd.loc.z,manny.head.loc.z,1322,1.0,1.8456945627927723,0.0,0.0,nan,nan,nan,nan,nan,0.06728146394541268,0.0,0.0,False,fail,175.5906,flat_target;low_correlation;amplitude_mismatch
head_mp_diagnostic,stage3_head_compare_only,mp_body.ear_mid.z,hmd.loc.z,1316,0.9954614220877458,5.07623457190477,1.8456945627927723,0.36359520755956853,0.4432078430240044,-0.05853019654750824,0.6946459755455128,-0.05853019654750824,0.6946459755455128,0.046766286757737856,0.06728146394541268,1.4386744941703207,False,fail,175.5906,
head_mp_diagnostic,stage3_head_compare_only,mp_body.nose.z,hmd.loc.z,1316,0.9954614220877458,6.132019359766204,1.8456945627927723,0.30099294449441255,0.4167225318876335,-0.05853019654750824,0.6203971268165116,-0.05853019654750824,0.6203971268165116,0.05344658309925072,0.06728146394541268,1.2588543559551877,False,fail,175.5906,low_correlation
head_mp_diagnostic,stage3_head_compare_only,mp_world.nose.z,hmd.loc.z,1313,0.9931921331316188,0.25337972943428066,1.8456945627927723,7.284302366703299,-0.1280085397594333,nan,nan,0.4388782661408186,-0.27618786722125865,0.0352874474114199,0.06728146394541268,1.906668486415901,False,fail,175.5906,low_correlation;amplitude_mismatch
pelvis,output_verification,fused.pelvis.loc.z,manny.pelvis.loc.z,1322,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,fail,175.5906,flat_source;flat_target;low_correlation
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.x,fused.pelvis.loc.x,1316,0.9954614220877458,0.6948534155903918,0.0,0.0,nan,nan,nan,nan,nan,0.02863502247795798,0.0,0.0,False,fail,175.5906,flat_target;low_correlation;amplitude_mismatch
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.y,fused.pelvis.loc.y,1316,0.9954614220877458,0.26271822060553107,0.0,0.0,0.025591245361205467,-0.05853019654750824,0.02564702669779146,-0.05853019654750824,0.02564702669779146,0.025025403194353462,0.0,0.0,False,fail,175.5906,flat_target;low_correlation;amplitude_mismatch
