group,pair_kind,source,target,sample_count,valid_fraction,source_range_p95_p05,target_range_p95_p05,amplitude_ratio_target_over_source,corr_zero_lag,best_lag_seconds,corr_best_lag,best_abs_lag_seconds,corr_best_abs_lag,source_step95_standardized,target_step95_standardized,step95_ratio_target_over_source,measurement_only,stage_gate,flags
head,hmd_to_fused_head,hmd.loc.x,fused.head.loc.x,1322,1.0,2.0095939666032785,1.6098344937812858,0.8010745058626508,0.9209828076500935,0.0,0.9209828076500942,0.0,0.9209828076500942,0.07587427713153351,0.08988823836025461,1.1846997659618805,False,fail,
head,hmd_to_fused_head,hmd.loc.y,fused.head.loc.y,1322,1.0,7.710304218530666,7.421267157801509,0.9625128850254059,0.9980464201888706,0.0,0.9980464201888702,0.0,0.9980464201888702,0.044277747232740694,0.04942452166406486,1.1162383985858801,False,fail,
head,hmd_to_fused_head,hmd.loc.z,fused.head.loc.z,1322,1.0,1.8456945627927723,1.2747244079457403,0.6906475392206384,0.9982896257082602,0.0,0.9982896257082606,0.0,0.9982896257082606,0.06728146394541268,0.07449314218400102,1.107186702186495,False,fail,
head,hmd_to_output_head,hmd.loc.z,manny.head.loc.z,1322,1.0,1.8456945627927723,0.0,0.0,nan,nan,nan,nan,nan,0.06728146394541268,0.0,0.0,False,fail,flat_target;low_correlation;amplitude_mismatch
head_mp_diagnostic,stage3_head_compare_only,mp_body.ear_mid.z,hmd.loc.z,1322,1.0,5.20388126373291,1.8456945627927723,0.35467653262111454,0.25039694693005365,-0.17559058964252472,0.6949866026354246,0.3219160810112953,-0.7314153706160335,0.041601646793416866,0.06728146394541268,1.6172788610872837,False,fail,lag_over_100ms
head_mp_diagnostic,stage3_head_compare_only,mp_body.nose.z,hmd.loc.z,1322,1.0,6.173098087310791,1.8456945627927723,0.29898999443840346,0.2435010398453067,-0.17559058964252472,0.6214713721130453,0.3219160810112953,-0.6901501046972903,0.04737398061552188,0.06728146394541268,1.420219771934643,False,fail,low_correlation;lag_over_100ms;possible_sign_or_axis_inversion
head_mp_diagnostic,stage3_head_compare_only,mp_world.nose.z,hmd.loc.z,1316,0.9954614220877458,0.2546844221651554,1.8456945627927723,7.246986474877106,-0.12409570580798229,nan,nan,0.7607912421226501,-0.2826995538884775,0.03543826376870401,0.06728146394541268,1.898554183820648,False,fail,low_correlation;amplitude_mismatch
pelvis,output_verification,fused.pelvis.loc.z,manny.pelvis.loc.z,1322,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,fail,flat_source;flat_target;low_correlation
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.x,fused.pelvis.loc.x,1322,1.0,0.6914860079223082,0.0,0.0,nan,nan,nan,nan,nan,0.02784262094025014,0.0,0.0,False,fail,flat_target;low_correlation;amplitude_mismatch
pelvis,pelvis_compare_no_planar_follow,mp_body.hip_mid.y,fused.pelvis.loc.y,1322,1.0,0.26420757102233194,0.0,0.0,0.025344528200231656,-0.17559058964252472,0.025509517024263555,-0.17559058964252472,0.025509517024263555,0.023690898605836258,0.0,0.0,False,fail,flat_target;low_correlation;lag_over_100ms;amplitude_mismatch
pelvis,stage1_pelvis_shape_raw_units,mp_world.hip_mid.z,fused.pelvis.loc.z,1316,0.9954614220877458,0.00014310848200693727,0.0,0.0,nan,nan,nan,nan,nan,0.03259525296054437,0.0,0.0,False,fail,flat_target;low_correlation;amplitude_mismatch
pelvis,stage1_pelvis_vertical_hint,mp_body.hip_mid.z,fused.pelvis.loc.z,1322,1.0,0.011029820452677086,0.0,0.0,0.18683456679409044,-0.17559058964252472,0.21119596527953866,-0.17559058964252472,0.21119596527953866,0.0273321872007318,0.0,0.0,False,fail,flat_target;low_correlation;lag_over_100ms;amplitude_mismatch
shoulders,quest_shoulder_output_measure,quest.left.shoulder.z,fused.left.shoulder.z,1322,1.0,1.5835540771484204,1.5835540771484204,1.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.09637593250324347,0.09637593250324347,1.0,False,pass,
shoulders,quest_shoulder_output_measure,quest.right.shoulder.z,fused.right.shoulder.z,1322,1.0,1.597901153564436,1.597901153564436,1.0,1.0,0.0,1.0,0.0,1.0,0.09618143803407381,0.09618143803407381,1.0,False,pass,
shoulders,shoulder_conflict_measure,quest.left.shoulder.z,mp_body.left_shoulder.z,1322,1.0,1.5835540771484204,4.286901205778122,2.707139129405511,0.2192719251140226,0.17559058964252472,0.6296537876316023,0.17559058964252472,0.6296537876316023,0.09637593250324347,0.05701502667445793,0.5915898834238427,False,fail,low_correlation;lag_over_100ms
shoulders,shoulder_conflict_measure,quest.right.shoulder.z,mp_body.right_shoulder.z,1322,1.0,1.597901153564436,3.2401393353939056,2.0277470406515015,0.2536032094590753,0.17559058964252472,0.7703452653493839,0.17559058964252472,0.7703452653493839,0.09618143803407381,0.05918449911739712,0.615342214954512,False,fail,lag_over_100ms
