signal,group,source_kind,sample_count,valid_fraction,p05,p50,p95,range_p95_p05,step95_standardized
conditioning.arms_quality,conditioning,conditioning,1316,0.9954614220877458,0.9641842842102051,0.9769192337989807,0.9896830469369888,0.025498762726783752,0.0533651084360443
conditioning.effective_added_latency_ms,conditioning,conditioning,1316,0.9954614220877458,0.0,0.0,0.0,0.0,0.0
conditioning.feet_ankles_quality,conditioning,conditioning,1316,0.9954614220877458,0.8268609493970871,0.8590739965438843,0.8904370665550232,0.0635761171579361,0.0804955606687509
conditioning.hands_wrists_quality,conditioning,conditioning,1316,0.9954614220877458,0.9002572596073151,0.9399316310882568,0.9695073962211609,0.06925013661384583,0.053308911974226714
conditioning.head_neck_quality,conditioning,conditioning,1316,0.9954614220877458,0.9995042979717255,0.999773383140564,0.9999399185180664,0.0004356205463409424,0.17535746049120882
conditioning.hips_quality,conditioning,conditioning,1316,0.9954614220877458,0.9992710947990417,0.9996576309204102,0.9998049437999725,0.0005338490009307861,0.16577904315301728
conditioning.legs_quality,conditioning,conditioning,1316,0.9954614220877458,0.9469700455665588,0.9680826663970947,0.9773538112640381,0.030383765697479248,0.07401320242077077
conditioning.max_landmark_jitter,conditioning,conditioning,1316,0.9954614220877458,0.0023051018361002207,0.010199593845754862,0.13679423928260803,0.1344891374465078,0.45141298178821043
conditioning.mean_landmark_confidence,conditioning,conditioning,1316,0.9954614220877458,0.944971963763237,0.9542274475097656,0.9674651324748993,0.022493168711662292,0.07124547281169612
conditioning.mean_landmark_jitter,conditioning,conditioning,1316,0.9954614220877458,0.0009227334667230025,0.004279555752873421,0.04188350588083267,0.04096077241410967,0.404054769381864
conditioning.mediapipe_output_fps,conditioning,conditioning,1316,0.9954614220877458,20.703763008117676,25.81865406036377,29.04737138748169,8.343608379364014,0.28906109705697536
conditioning.prediction_horizon_ms,conditioning,conditioning,1316,0.9954614220877458,0.0,0.0,27.747047901153564,27.747047901153564,1.0311940738319034
conditioning.quality_score,conditioning,conditioning,1316,0.9954614220877458,0.944971963763237,0.9542274475097656,0.9674651324748993,0.022493168711662292,0.07124547281169612
conditioning.root_pelvis_quality,conditioning,conditioning,1316,0.9954614220877458,0.9992710947990417,0.9996576309204102,0.9998049437999725,0.0005338490009307861,0.16577904315301728
conditioning.shoulder_clavicle_quality,conditioning,conditioning,1316,0.9954614220877458,0.9974265694618225,0.9993257522583008,0.9997707307338715,0.00234416127204895,0.16772060973594205
conditioning.source_age_ms,conditioning,conditioning,1316,0.9954614220877458,0.0,0.0,27.747047901153564,27.747047901153564,1.0311940738319034
conditioning.source_video_fps,conditioning,conditioning,1316,0.9954614220877458,30.0,30.0,30.0,0.0,0.0
conditioning.torso_spine_quality,conditioning,conditioning,1316,0.9954614220877458,0.9985582530498505,0.9994341731071472,0.9997541606426239,0.0011959075927734375,0.1908991228070175
conditioning.unique_pose_timestamp_fps,conditioning,conditioning,1316,0.9954614220877458,20.703763008117676,25.81865406036377,29.04737138748169,8.343608379364014,0.28906109705697536
conditioning.whole_pose_spike_score,conditioning,conditioning,1316,0.9954614220877458,0.0,0.0,0.0,0.0,0.0
face.count,head_mp_diagnostic,face,48,0.036308623298033284,478.0,478.0,478.0,0.0,0.0
face.has_transform,head_mp_diagnostic,face,48,0.036308623298033284,0.0,0.0,0.0,0.0,0.0
face.score,head_mp_diagnostic,face,48,0.036308623298033284,1.0,1.0,1.0,0.0,0.0
fused.chest.loc.x,torso,fused,1322,1.0,-0.33592251172440885,0.3180232829116902,0.8699201638753643,1.205842675599773,0.09551294905562402
fused.chest.loc.y,torso,fused,1322,1.0,-173.73038283868175,-169.77005930781468,-166.98079693158752,6.749585907094229,0.04619142892464079
fused.chest.loc.z,torso,fused,1322,1.0,133.4445386200455,134.18347675529446,134.4412213826927,0.9966827626471968,0.07449314218398326
fused.head.loc.x,head,fused,1322,1.0,-0.5292572067596916,0.3917640803737221,1.0805772870215942,1.6098344937812858,0.08988823836025461
fused.head.loc.y,head,fused,1322,1.0,-174.2506777197977,-169.18555443548433,-166.82941056199618,7.421267157801509,0.04942452166406486
